id,question,graph_output,decision,reason,disclaimer
1011,Is joint injection covered for a rotator cuff tear?,"A: Coverage not found for this pairing in the local graph.

Per-diagnosis:
  M751*: ✗ matches DxSet[icd:rotator_cuff] but not with this procedure
  M75100: ✗ no matching policy set
  M75101: ✗ no matching policy set
  M75102: ✗ no matching policy set

Why (reason path):
  Diagnosis:M751* --IS_IN→ DxSet:icd:rotator_cuff
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:rotator_cuff
  Coverage:cms-tendon --USES_DXSET→ DxSet:icd:rotator_cuff
  Diagnosis:M75100 --IS_A→ Diagnosis:M751*
  Diagnosis:M75101 --IS_A→ Diagnosis:M751*
  Diagnosis:M75102 --IS_A→ Diagnosis:M751*

Matched sets:

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-tendon: CMS Coverage — Tendon Injection
- icd10: M75100 — Unspecified rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic
- icd10: M75101 — Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic
- icd10: M75102 — Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic",NOT_COVERED,"Arthrocentesis (CPT 20610) is only covered under the policy ""CMS Coverage — Arthrocentesis"" for specific diagnoses configured in this system, but M75.1 (Rotator cuff tear) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1012,Is nerve conduction study covered for neck pain?,"A: Coverage not found for this pairing in the local graph.

Per-diagnosis:
  M542: ✗ no matching policy set
  M542*: ✗ matches DxSet[icd:cervicalgia] but not with this procedure

Why (reason path):
  Diagnosis:M542* --IS_IN→ DxSet:icd:cervicalgia
  Procedure:95900 --IS_IN→ ProcSet:cpt:ncs
  Coverage:cms-trigger --USES_DXSET→ DxSet:icd:cervicalgia
  Coverage:cms-ncs --USES_PROCSET→ ProcSet:cpt:ncs
  Diagnosis:M542 --IS_A→ Diagnosis:M542*

Matched sets:

Citations:
- cms-ncs: CMS Coverage — Nerve Conduction Studies
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M542 — Cervicalgia",NOT_COVERED,"Nerve conduction study (CPT 95900) is only covered under the policy ""CMS Coverage —Nerve Conduction Studies"" for specific diagnoses configured in this system, but M542 (Cervicalgia) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1013,Is arthrocentesis covered for a rotator cuff tear?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  M751*: ✓ qualifies under cms-arthro via DxSet[icd:rotator_cuff]
  M75100: ✗ no matching policy set
  M75101: ✗ no matching policy set
  M75102: ✗ no matching policy set

Why (reason path):
  Diagnosis:M751* --IS_IN→ DxSet:icd:rotator_cuff
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:rotator_cuff
  Coverage:cms-tendon --USES_DXSET→ DxSet:icd:rotator_cuff
  Diagnosis:M75100 --IS_A→ Diagnosis:M751*
  Diagnosis:M75101 --IS_A→ Diagnosis:M751*
  Diagnosis:M75102 --IS_A→ Diagnosis:M751*

Matched sets:
  cms-arthro: ProcSet[cpt:arthro_block] & DxSet[icd:rotator_cuff]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-tendon: CMS Coverage — Tendon Injection
- icd10: M75100 — Unspecified rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic
- icd10: M75101 — Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic
- icd10: M75102 — Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic ",COVERED,"Arthrocentesis (CPT 20610) is covered for diagnosis M75.1 (rotator cuff) under the policy
""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:arthro_block] with DxSet[icd:rotator_cuff].","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1014,Is joint injection covered for shoulder impingement?,"A: Coverage not found for this pairing in the local graph.

Per-diagnosis:
  M754*: ✗ no matching policy set
  M7540: ✗ no matching policy set
  M7541: ✗ no matching policy set
  M7542: ✗ no matching policy set

Why (reason path):
  Procedure:20552 --IS_IN→ ProcSet:cpt:trigger_point
  Coverage:cms-trigger --USES_PROCSET→ ProcSet:cpt:trigger_point
  Diagnosis:M7540 --IS_A→ Diagnosis:M754*
  Diagnosis:M7541 --IS_A→ Diagnosis:M754*
  Diagnosis:M7542 --IS_A→ Diagnosis:M754*

Matched sets:

Citations:
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M7540 — Impingement syndrome of unspecified shoulder
- icd10: M7541 — Impingement syndrome of right shoulder
- icd10: M7542 — Impingement syndrome of left shoulder",NOT_COVERED,"Joint injection (CPT 20552) is only covered under the policy ""CMS Coverage —Trigger Point Injection"" for specific diagnoses configured in this system, but M754 (Impingement syndrome) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1015,Is 20552 covered for neck pain?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  M542: ✗ no matching policy set
  M542*: ✓ qualifies under cms-trigger via DxSet[icd:cervicalgia]

Why (reason path):
  Diagnosis:M542* --IS_IN→ DxSet:icd:cervicalgia
  Procedure:20552 --IS_IN→ ProcSet:cpt:trigger_point
  Coverage:cms-trigger --USES_PROCSET→ ProcSet:cpt:trigger_point
  Coverage:cms-trigger --USES_DXSET→ DxSet:icd:cervicalgia
  Diagnosis:M542 --IS_A→ Diagnosis:M542*

Matched sets:
  cms-trigger: ProcSet[cpt:trigger_point] & DxSet[icd:cervicalgia]

Citations:
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M542 — Cervicalgia ",COVERED,"Trigger point injection (CPT 20552) is covered for diagnosis M542 (cervicalgia) under the policy
""CMS Coverage — Trigger Point Injection"", which links ProcSet[cpt:trigger_point] with DxSet[icd:cervicalgia].","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1016,Is 20610 covered for cervicalgia?,"A: Coverage not found for this pairing in the local graph.

Per-diagnosis:
  M542: ✗ no matching policy set
  M542*: ✗ matches DxSet[icd:cervicalgia] but not with this procedure

Why (reason path):
  Diagnosis:M542* --IS_IN→ DxSet:icd:cervicalgia
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-trigger --USES_DXSET→ DxSet:icd:cervicalgia
  Diagnosis:M542 --IS_A→ Diagnosis:M542*

Matched sets:

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M542 — Cervicalgia ",NOT_COVERED,"Arthrocentesis (CPT 20610) is only covered under the policy ""CMS Coverage — Arthrocentesis"" for specific diagnoses configured in this system, but M542 (Cervicalgia) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1017,Is 95900 covered for diabetic neuropathy?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  E114*: ✓ qualifies under cms-ncs via DxSet[icd:diabetic_neuropathy]
  E1140: ✗ no matching policy set
  E1141: ✗ no matching policy set
  E1142: ✗ no matching policy set

Why (reason path):
  Diagnosis:E114* --IS_IN→ DxSet:icd:diabetic_neuropathy
  Procedure:95900 --IS_IN→ ProcSet:cpt:ncs
  Coverage:cms-ncs --USES_PROCSET→ ProcSet:cpt:ncs
  Coverage:cms-ncs --USES_DXSET→ DxSet:icd:diabetic_neuropathy
  Diagnosis:E1140 --IS_A→ Diagnosis:E114*
  Diagnosis:E1141 --IS_A→ Diagnosis:E114*
  Diagnosis:E1142 --IS_A→ Diagnosis:E114*

Matched sets:
  cms-ncs: ProcSet[cpt:ncs] & DxSet[icd:diabetic_neuropathy]

Citations:
- cms-ncs: CMS Coverage — Nerve Conduction Studies
- icd10: E1140 — Type 2 diabetes mellitus with diabetic neuropathy, unspecified
- icd10: E1141 — Type 2 diabetes mellitus with diabetic mononeuropathy
- icd10: E1142 — Type 2 diabetes mellitus with diabetic polyneuropathy ",COVERED,"Nerve conduction studies (CPT 95900) is covered for diagnosis E1140 (diabetic neuropathy) under the policy
""CMS Coverage — Nerve Conduction Studies"", which links ProcSet[cpt:ncs] with DxSet[icd:diabetic_neuropathy].","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1018,Is joint tap covered for M54.2?,"A: Coverage not found for this pairing in the local graph.

Per-diagnosis:
  M542: ✗ matches DxSet[icd:cervicalgia] but not with this procedure
  M542*: ✗ matches DxSet[icd:cervicalgia] but not with this procedure

Why (reason path):
  Diagnosis:M542 --IS_IN→ DxSet:icd:cervicalgia
  Diagnosis:M542 --IS_A→ Diagnosis:M542*
  Diagnosis:M542* --IS_IN→ DxSet:icd:cervicalgia
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-trigger --USES_DXSET→ DxSet:icd:cervicalgia

Matched sets:

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M542 — Cervicalgia ",NOT_COVERED,"Arthrocentesis (CPT 20610) is only covered under the policy ""CMS Coverage — Arthrocentesis"" for specific diagnoses configured in this system, but M542 (Cervicalgia) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1019,Is arthrocentesis covered for M75.01?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Why (reason path):
  Diagnosis:M7501 --IS_IN→ DxSet:icd:frozen_shoulder
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder

Matched sets:
  cms-arthro: ProcSet[cpt:arthro_block] & DxSet[icd:frozen_shoulder]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- icd10: M7501 — Adhesive capsulitis of right shoulder ",COVERED,"Arthrocentesis (CPT 20610) is covered for diagnosis M75.01 (frozen shoulder) under the policy
""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:arthro_block] with DxSet[icd:frozen_shoulder].","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1020,Is arthrocentesis covered for frozen shoulder and rotator cuff tear?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  M750*: ✓ qualifies under cms-arthro via DxSet[icd:frozen_shoulder]
  M7500: ✗ no matching policy set
  M7501: ✗ no matching policy set
  M7502: ✗ no matching policy set
  M751*: ✓ qualifies under cms-arthro via DxSet[icd:rotator_cuff]
  M75100: ✗ no matching policy set
  M75101: ✗ no matching policy set
  M75102: ✗ no matching policy set

Why (reason path):
  Diagnosis:M750* --IS_IN→ DxSet:icd:frozen_shoulder
  Diagnosis:M751* --IS_IN→ DxSet:icd:rotator_cuff
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:rotator_cuff
  Coverage:cms-tendon --USES_DXSET→ DxSet:icd:rotator_cuff
  Diagnosis:M75100 --IS_A→ Diagnosis:M751*
  Diagnosis:M75101 --IS_A→ Diagnosis:M751*
  Diagnosis:M75102 --IS_A→ Diagnosis:M751*
  Diagnosis:M7500 --IS_A→ Diagnosis:M750*
  Diagnosis:M7501 --IS_A→ Diagnosis:M750*
  Diagnosis:M7502 --IS_A→ Diagnosis:M750*

Matched sets:
  cms-arthro: ProcSet[cpt:arthro_block] & DxSet[icd:frozen_shoulder, icd:rotator_cuff]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-tendon: CMS Coverage — Tendon Injection
- icd10: M7500 — Adhesive capsulitis of unspecified shoulder
- icd10: M7501 — Adhesive capsulitis of right shoulder
- icd10: M7502 — Adhesive capsulitis of left shoulder
- icd10: M75100 — Unspecified rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic
- icd10: M75101 — Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic
- icd10: M75102 — Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic ",COVERED,"Arthrocentesis (CPT 20610) is covered for diagnoses M75.0 (frozen shoulder) under the policy
""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:arthro_block] with DxSet[icd:frozen_shoulder].

Arthrocentesis (CPT 20610) is covered for diagnoses M75.1 (rotator cuff) under the policy
""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:arthro_block] with DxSet[icd:rotator_cuff].","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1021,Is joint injection covered for M54.2 and M75.01?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  M542: ✓ qualifies under cms-trigger via DxSet[icd:cervicalgia]
  M7501: ✗ matches DxSet[icd:frozen_shoulder] but not with this procedure

Why (reason path):
  Diagnosis:M7501 --IS_IN→ DxSet:icd:frozen_shoulder
  Diagnosis:M542 --IS_IN→ DxSet:icd:cervicalgia
  Procedure:20552 --IS_IN→ ProcSet:cpt:trigger_point
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder
  Coverage:cms-trigger --USES_PROCSET→ ProcSet:cpt:trigger_point
  Coverage:cms-trigger --USES_DXSET→ DxSet:icd:cervicalgia

Matched sets:
  cms-trigger: ProcSet[cpt:trigger_point] & DxSet[icd:cervicalgia]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M542 — Cervicalgia
- icd10: M7501 — Adhesive capsulitis of right shoulder ",HUMAN,"Arthrocentesis (CPT 20610) is covered when performed for cervicalgia (M542) under the policy ""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:trigger_point] with DxSet[icd:cervicalgia]. 

Arthrocentesis (CPT 20610) is only covered under the policy ""CMS Coverage — Arthrocentesis"" for specific diagnoses configured in this system, but M7501 (Frozen shoulder) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.

Because this order includes both a covered diagnosis (M542) and a diagnosis that is not covered (M75.01), this combination should be reviewed manually rather than auto-approved.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1022,Is 95900 covered for M75.01 and M75.41?,"A: Coverage not found for this pairing in the local graph.

Per-diagnosis:
  M7501: ✗ matches DxSet[icd:frozen_shoulder] but not with this procedure
  M7541: ✗ no matching policy set

Why (reason path):
  Diagnosis:M7501 --IS_IN→ DxSet:icd:frozen_shoulder
  Procedure:95900 --IS_IN→ ProcSet:cpt:ncs
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder
  Coverage:cms-ncs --USES_PROCSET→ ProcSet:cpt:ncs

Matched sets:

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-ncs: CMS Coverage — Nerve Conduction Studies
- icd10: M7501 — Adhesive capsulitis of right shoulder
- icd10: M7541 — Impingement syndrome of right shoulder",NOT_COVERED,"Nerve conduction studies (CPT 95900) is only covered under the policy ""CMS Coverage — Nerve Conduction Studies"" for specific diagnoses configured in this system, but M75.01 (Frozen shoulder) and M75.41 (Impingement syndrome) are not among those covered diagnoses. As a result, these procedure-diagnosis pairings are not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
